,id,carat,cut,color,clarity,depth,table,price
117,117,1.79,2,4,4,61.7,59.0,18419
118,118,0.3,3,4,2,60.7,56.0,725
119,119,0.62,1,4,3,61.8,57.0,2548
120,120,0.71,1,2,6,61.3,55.0,2817
121,121,1.88,3,1,7,63.2,60.0,9791
122,122,0.31,1,3,4,61.2,57.0,695
123,123,1.27,1,6,4,62.8,57.0,6396
124,124,0.67,1,4,2,62.4,55.0,2577
125,125,0.3,3,4,4,61.7,57.0,620
126,126,0.79,1,5,3,62.0,55.9,3324
127,127,0.32,1,1,7,61.7,55.0,454
128,128,0.42,3,5,5,62.1,57.0,773
129,129,1.37,3,4,4,58.3,60.0,10226
130,130,1.05,1,4,4,61.0,56.0,7526
131,131,0.7,3,2,7,60.1,56.0,2290
132,132,0.9,3,3,6,61.6,56.0,3724
133,133,0.9,3,4,6,63.1,59.0,3669
134,134,0.23,3,2,5,62.5,59.0,373
135,135,1.42,4,3,5,63.7,57.0,9542
136,136,0.32,3,5,5,63.0,57.0,505
137,137,0.32,2,7,5,61.9,59.0,393
138,138,0.45,5,4,6,68.6,57.0,756
139,139,0.31,1,5,3,62.4,57.0,625
140,140,1.07,2,4,4,58.6,60.0,6730
141,141,0.74,3,4,3,61.3,56.0,3413
142,142,2.01,4,5,8,63.9,59.0,7024
143,143,0.41,1,3,6,62.7,57.0,755
144,144,0.4,1,2,6,62.2,54.0,1074
145,145,0.3,1,5,4,62.3,55.1,539
146,146,0.9,5,6,3,67.0,56.0,3074
147,147,0.54,3,3,4,60.0,59.0,1653
148,148,0.43,2,4,4,61.8,59.0,1008
149,149,0.6,2,2,4,61.0,61.0,1875
150,150,1.54,1,4,7,61.7,56.0,9359
151,151,1.35,2,7,6,61.1,61.0,5715
152,152,0.7,3,4,4,60.8,56.0,2512
153,153,1.7,2,5,6,61.8,61.0,11848
154,154,1.24,1,1,3,62.6,55.0,13929
155,155,0.42,3,5,2,62.2,56.0,1193
156,156,0.32,1,2,2,61.7,56.0,1020
157,157,0.9,3,1,7,60.6,61.0,3534
158,158,0.34,1,5,6,61.5,55.0,647
159,159,0.38,2,2,5,61.8,58.0,1112
160,160,0.51,1,4,1,61.3,56.0,2163
161,161,0.3,1,4,2,61.7,57.0,789
162,162,0.42,3,3,6,63.3,56.0,926
163,163,0.92,3,2,6,63.2,58.0,4183
164,164,0.8,1,3,5,62.7,54.0,3369
165,165,0.93,4,1,7,64.5,58.0,3839
166,166,0.72,1,6,3,61.2,59.0,2452
167,167,0.75,3,2,6,62.3,58.0,2923
168,168,0.56,1,1,4,61.7,56.0,2026
169,169,2.09,1,6,6,61.8,56.0,17114
170,170,1.1,3,6,6,62.7,58.0,4356
171,171,0.71,2,4,4,62.4,61.0,2803
172,172,0.8,2,1,6,59.4,55.0,3226
173,173,0.7,3,5,4,60.3,63.0,2399
174,174,0.34,3,1,5,62.9,55.0,805
175,175,0.52,3,2,7,61.8,54.0,1120
176,176,1.05,1,4,2,60.7,55.0,8946
177,177,0.32,1,4,5,62.5,56.0,720
178,178,0.5,2,2,5,61.4,58.0,1624
179,179,2.01,2,6,4,62.9,59.0,18206
180,180,0.5,2,4,4,59.9,59.0,1624
181,181,1.01,1,1,3,61.6,57.0,12996
182,182,1.11,3,5,6,62.0,55.0,4871
183,183,0.41,1,3,1,61.4,58.0,1439
184,184,0.33,1,6,6,61.3,56.0,463
185,185,0.26,3,2,2,59.9,58.0,597
186,186,1.09,1,4,7,61.2,57.0,4586
187,187,0.52,1,2,5,62.3,53.0,1549
188,188,0.34,1,5,4,62.5,57.0,596
189,189,0.56,5,3,6,61.6,61.0,1176
190,190,0.28,4,4,5,61.8,61.0,394
191,191,0.23,3,1,5,62.9,57.0,402
192,192,0.51,2,4,5,62.3,59.0,1546
193,193,1.73,2,6,4,62.2,59.0,12674
194,194,0.71,1,5,3,61.7,57.0,3371
195,195,0.7,4,5,6,61.9,62.0,2088
196,196,0.91,2,5,5,61.9,59.0,4201
197,197,0.71,3,4,5,61.9,62.0,2671
198,198,0.3,3,5,2,62.8,56.0,655
199,199,1.51,4,6,4,64.0,60.0,8975
200,200,0.36,1,2,6,62.9,56.0,810
201,201,0.31,3,3,5,62.1,54.0,500
202,202,0.55,1,4,6,61.3,56.0,1605
203,203,1.58,2,3,7,60.7,60.0,6990
204,204,0.9,2,5,5,61.8,58.0,4155
205,205,0.34,1,3,5,62.1,56.0,880
206,206,0.34,1,6,2,61.8,56.0,626
207,207,1.03,1,3,2,61.3,54.0,9881
208,208,0.71,1,3,5,61.8,55.0,3516
209,209,1.2,2,5,7,62.5,58.0,5280
210,210,0.3,3,7,4,63.4,55.0,506
211,211,0.61,1,7,6,62.0,55.0,1143
212,212,0.53,1,3,2,61.4,57.0,2860
213,213,1.51,4,5,7,61.0,56.0,8243
214,214,0.7,2,3,6,61.3,59.0,2161
215,215,0.7,1,3,4,61.6,55.0,2874
216,216,0.98,5,5,6,68.6,58.0,3583
217,217,1.11,1,7,7,61.7,57.0,4092
218,218,0.61,3,7,6,60.8,58.0,1149
219,219,0.24,4,3,3,64.0,61.0,471
220,220,1.02,3,3,7,60.2,61.0,4162
221,221,1.57,1,6,6,62.4,53.6,9460
222,222,1.03,2,5,6,62.5,59.0,5129
223,223,1.14,1,7,7,61.5,57.0,4212
224,224,0.25,3,2,3,63.0,57.0,575
225,225,2.02,4,5,7,59.0,61.0,13144
226,226,0.55,1,5,4,61.9,55.0,1588
227,227,0.54,1,3,5,61.4,57.0,1662
228,228,0.9,3,5,7,59.5,63.0,3105
229,229,0.91,2,2,6,60.5,61.0,4138
230,230,0.31,2,4,5,60.7,61.0,698
231,231,1.51,1,1,7,61.2,56.0,6934
232,232,0.9,3,6,5,62.0,63.0,3338
233,233,0.31,4,1,6,63.5,56.0,571
234,234,0.5,5,5,5,56.3,65.0,1332
235,235,0.3,1,6,4,61.6,56.0,473
236,236,1.25,3,6,5,62.7,58.0,5975
237,237,0.44,3,7,4,61.9,57.0,694
238,238,1.11,2,4,5,61.5,58.0,7055
239,239,1.01,1,1,7,61.6,57.0,5051
240,240,1.06,2,4,5,60.9,57.0,6582
241,241,0.59,1,4,3,62.6,57.0,2125
242,242,0.34,4,6,6,63.7,54.0,447
243,243,0.42,1,6,2,62.5,57.0,945
244,244,0.83,2,2,6,58.4,59.0,3506
245,245,0.31,1,2,5,61.7,55.0,642
246,246,0.43,3,1,6,62.9,56.0,760
247,247,1.11,1,2,6,61.4,58.0,6291
248,248,1.06,1,6,7,61.4,57.0,3777
249,249,1.16,1,2,7,59.9,57.0,5001
250,250,2.14,3,6,5,59.7,57.0,16914
251,251,1.51,3,4,4,63.1,60.0,13811
252,252,0.92,3,1,7,60.2,61.0,3057
253,253,1.0,3,1,5,62.6,58.0,6762
254,254,1.08,1,3,5,62.3,54.0,7917
255,255,0.3,1,6,1,62.0,57.0,615
256,256,0.3,1,4,2,61.4,56.0,945
257,257,0.41,1,3,5,60.8,56.0,1107
258,258,0.26,1,3,2,60.3,56.0,733
259,259,1.51,5,6,5,64.6,58.0,8287
260,260,0.31,2,6,3,59.4,59.0,544
261,261,0.7,1,5,6,62.0,55.0,2184
262,262,0.38,1,3,6,60.4,57.0,844
263,263,0.31,2,5,3,61.4,58.0,802
264,264,0.76,3,2,3,60.6,59.0,3833
265,265,0.7,4,1,7,63.7,58.0,2367
266,266,0.28,3,3,4,61.0,59.0,487
267,267,1.28,1,3,4,61.5,55.0,12061
268,268,1.28,2,7,7,62.3,58.0,4636
269,269,1.52,1,2,7,61.0,56.0,8299
270,270,2.26,2,6,7,62.0,58.0,16241
271,271,0.3,1,4,6,62.3,56.0,477
272,272,0.31,1,4,4,61.9,56.0,542
273,273,1.01,3,3,6,62.9,57.0,6075
274,274,0.9,2,2,6,61.9,58.0,4209
275,275,1.0,3,1,4,62.7,60.0,7877
276,276,0.4,1,3,7,62.0,57.0,597
277,277,0.71,1,4,3,61.5,57.0,2893
278,278,0.34,2,2,6,59.3,58.0,596
279,279,1.13,1,5,6,62.3,56.0,5384
280,280,0.32,1,4,2,60.3,58.0,779
281,281,1.0,1,2,7,61.8,57.0,4743
282,282,1.5,1,5,4,61.3,55.0,10080
283,283,0.35,3,4,3,62.4,56.0,798
284,284,0.41,3,3,5,59.4,60.0,951
285,285,1.51,4,6,7,63.6,60.0,7957
286,286,0.3,1,2,4,60.0,56.0,663
287,287,1.0,4,6,3,57.4,59.0,4032
288,288,1.51,2,4,5,59.6,57.0,12696
289,289,0.7,5,3,5,65.3,55.0,2762
290,290,1.2,1,7,5,62.2,54.0,4106
291,291,0.4,3,6,6,63.2,54.0,765
292,292,1.24,3,4,6,61.8,58.0,7106
293,293,0.59,1,3,4,61.1,56.0,2140
294,294,0.76,2,4,7,62.8,60.0,2364
295,295,1.01,1,4,6,61.4,55.0,4653
296,296,1.1,2,7,7,59.6,59.0,3726
297,297,0.61,1,4,7,60.5,56.0,1306
298,298,0.5,5,3,6,64.7,60.0,1069
299,299,0.83,2,5,6,62.5,59.0,2825
300,300,0.93,1,5,6,62.4,55.0,4635
301,301,1.03,1,1,6,62.2,56.0,6299
302,302,0.9,2,4,6,62.2,60.0,3984
303,303,1.3,2,5,7,60.4,61.0,4732
304,304,0.57,2,2,6,61.4,58.0,1728
305,305,0.25,2,2,3,62.5,59.0,576
306,306,1.01,4,4,3,63.1,56.0,7430
307,307,1.01,2,2,5,60.2,58.0,6335
308,308,0.7,4,1,6,61.3,61.0,2980
309,309,1.01,4,5,5,64.2,55.0,4839
310,310,1.35,2,6,7,59.8,59.0,5715
311,311,0.91,3,1,7,60.8,58.0,3910
312,312,0.3,1,2,2,61.7,58.0,862
313,313,0.36,1,2,5,61.5,56.2,801
314,314,0.95,2,4,7,59.8,60.0,3181
315,315,0.55,3,4,4,59.4,62.0,1667
316,316,0.37,2,4,4,61.4,58.0,957
317,317,1.25,2,5,4,62.0,59.0,8099
318,318,1.27,1,4,5,62.0,58.0,8915
319,319,1.29,1,5,7,62.1,57.0,5926
320,320,0.9,2,6,6,60.9,56.0,2947
321,321,1.52,5,5,7,64.9,58.0,6129
322,322,0.2,3,2,5,63.4,59.0,367
323,323,0.35,2,2,6,61.1,59.0,788
324,324,0.31,2,2,3,62.2,56.0,1116
325,325,0.7,4,3,2,63.3,56.0,3310
326,326,0.8,1,4,3,61.5,55.0,4740
327,327,0.33,1,6,3,62.4,57.0,743
328,328,0.91,3,2,6,62.3,59.0,4914
329,329,1.1,3,3,8,59.8,61.0,3678
330,330,1.07,2,5,7,62.2,59.0,4194
331,331,0.37,1,4,3,61.9,54.0,917
332,332,1.26,2,7,5,62.0,60.0,5173
333,333,1.26,2,5,7,61.3,57.0,6350
334,334,0.31,2,5,3,60.6,60.0,625
335,335,1.34,2,5,5,62.3,60.0,7816
336,336,1.51,3,5,3,63.1,59.0,11934
337,337,1.21,1,5,5,62.2,55.0,5882
338,338,0.3,1,1,5,61.6,56.0,670
339,339,0.32,3,1,5,62.0,57.0,758
340,340,0.71,2,3,4,59.1,61.0,2839
341,341,0.32,1,4,4,61.8,55.0,828
342,342,0.29,1,5,4,61.8,57.0,498
343,343,0.58,2,4,7,61.2,59.0,1307
344,344,1.59,2,5,7,62.6,59.0,9385
345,345,0.53,1,6,3,61.2,56.0,1341
346,346,0.41,2,6,7,60.6,59.0,600
347,347,0.5,1,3,4,61.6,57.0,1695
348,348,2.01,1,5,6,62.1,55.0,18295
349,349,0.51,1,3,4,61.7,54.0,1744
350,350,0.52,1,4,3,61.8,57.0,2012
351,351,0.61,1,6,7,61.1,57.0,1401
352,352,1.08,2,4,4,62.9,55.0,6982
353,353,0.36,3,2,7,62.6,57.0,505
354,354,0.43,1,1,4,61.9,55.0,1207
355,355,0.7,3,3,5,61.6,60.0,2593
356,356,0.5,2,1,6,62.2,59.0,1654
357,357,0.7,5,6,6,65.0,56.0,1720
358,358,1.51,3,5,5,62.8,58.0,10225
359,359,0.41,2,1,2,62.3,53.0,1582
360,360,0.3,2,5,6,60.8,61.0,540
361,361,0.37,5,3,1,52.3,61.0,1166
362,362,1.23,1,4,5,62.4,57.0,8233
363,363,0.58,1,2,5,62.0,57.0,1752
364,364,0.38,2,5,5,60.5,59.0,898
365,365,0.79,1,1,6,61.3,54.0,3328
366,366,0.9,3,4,7,62.6,60.0,3593
367,367,1.0,2,5,5,62.4,59.0,5404
368,368,0.3,1,3,1,61.8,56.0,886
369,369,1.0,2,4,5,61.3,62.0,6048
370,370,1.25,3,4,2,60.6,60.0,10962
371,371,0.8,2,4,6,63.0,59.0,2760
372,372,0.31,1,1,5,62.1,55.0,636
373,373,0.38,1,5,2,60.7,56.0,1069
374,374,0.71,3,6,7,60.4,59.0,2003
375,375,0.33,3,2,6,60.2,58.0,579
376,376,0.3,2,2,5,62.0,58.0,844
377,377,0.3,1,3,4,61.0,56.0,731
378,378,0.35,1,1,6,62.3,55.0,827
379,379,0.41,2,2,6,61.4,56.0,969
380,380,0.29,1,4,1,62.0,56.0,673
381,381,0.31,4,2,6,63.9,56.0,544
382,382,0.71,1,4,6,62.9,57.0,2352
383,383,0.71,2,5,4,59.1,61.0,2572
384,384,1.07,1,3,7,61.4,56.0,5313
385,385,0.55,4,6,6,57.7,61.0,1089
386,386,2.01,1,4,5,63.0,56.0,18172
387,387,0.9,4,3,7,58.0,57.0,3770
388,388,0.36,1,4,7,62.3,54.0,505
389,389,0.4,1,1,7,60.5,57.0,648
390,390,0.52,3,4,4,61.8,58.0,1581
391,391,2.08,2,6,7,61.2,58.0,15321
392,392,1.5,2,2,5,61.8,59.0,14790
393,393,0.59,1,4,1,62.0,54.0,2444
394,394,0.31,1,3,2,62.0,54.0,840
395,395,1.5,4,1,7,61.9,61.0,10302
396,396,1.52,2,4,3,62.1,58.0,14105
397,397,0.71,1,3,3,62.6,56.0,3018
398,398,0.33,3,3,5,62.4,57.0,666
399,399,0.41,1,1,4,62.8,57.0,1230
400,400,0.84,1,6,4,61.4,57.0,3201
401,401,0.73,3,3,6,61.3,56.0,3023
402,402,0.71,3,4,6,63.1,60.0,2240
403,403,1.03,2,2,6,61.3,60.0,5101
404,404,1.54,2,4,6,60.5,61.0,11574
405,405,0.54,4,2,3,60.1,61.0,2502
406,406,0.7,2,3,5,60.2,59.0,2657
407,407,0.52,2,2,5,61.6,59.0,1694
408,408,0.41,3,1,6,63.3,55.0,947
409,409,0.31,1,5,5,61.9,55.0,628
410,410,0.71,2,3,4,58.6,62.0,3082
411,411,0.43,3,4,2,61.3,57.0,1207
412,412,0.9,3,4,7,61.4,58.0,3489
413,413,0.34,1,2,5,62.1,54.0,745
414,414,0.33,1,2,6,62.5,55.0,743
415,415,0.33,3,4,4,60.1,61.0,666
416,416,0.71,2,2,6,60.5,55.0,2756
417,417,0.7,4,1,5,63.9,58.0,3033
418,418,1.53,3,5,1,63.1,57.0,13369
419,419,0.33,1,3,1,61.8,55.0,1028
420,420,2.01,4,4,7,63.6,59.0,11096
421,421,1.02,3,3,7,63.0,58.0,4162
422,422,0.35,2,2,5,60.7,60.0,984
423,423,0.3,1,2,5,62.4,57.0,844
424,424,0.3,4,4,3,63.1,56.0,684
425,425,0.74,2,3,4,61.7,57.0,3170
426,426,1.02,2,2,7,58.7,59.0,4478
427,427,0.43,1,4,4,61.3,57.0,943
428,428,0.73,2,1,4,60.0,58.0,3557
429,429,0.3,1,2,5,61.5,56.0,658
430,430,0.38,1,3,2,61.5,56.0,1120
431,431,0.72,3,3,7,58.5,60.0,2126
432,432,1.47,2,5,7,59.1,56.0,7573
433,433,1.42,2,4,4,61.7,55.0,11861
434,434,0.71,1,5,4,61.9,56.0,2909
435,435,0.33,1,3,5,60.9,56.0,619
436,436,0.32,2,4,7,61.0,59.0,540
437,437,0.31,2,2,5,60.6,59.0,872
438,438,1.01,3,2,6,63.3,58.0,5077
439,439,1.2,3,4,6,63.2,59.0,5665
440,440,0.71,1,1,6,61.3,57.0,2690
441,441,0.46,1,1,5,62.4,56.0,1298
442,442,0.43,2,3,4,62.5,58.0,1129
443,443,0.53,2,6,4,62.3,58.0,1286
444,444,0.32,1,2,5,61.4,56.0,599
445,445,1.0,2,3,7,62.9,56.0,4333
446,446,1.22,1,7,4,61.5,55.0,5649
447,447,1.62,1,4,5,61.7,54.0,15318
448,448,0.78,3,4,5,61.7,58.0,3074
449,449,1.2,2,4,3,62.8,59.0,10053
450,450,0.42,3,3,5,61.7,59.0,884
451,451,0.6,3,3,6,62.4,56.0,1554
452,452,0.43,4,3,6,60.7,61.0,706
453,453,0.3,2,7,4,63.0,59.0,506
454,454,0.29,1,2,3,62.0,55.0,858
455,455,0.57,1,2,5,61.6,56.0,1949
456,456,0.41,4,2,5,61.1,61.0,982
457,457,0.41,2,4,3,61.6,58.0,1076
458,458,1.03,1,3,4,59.0,55.0,7752
459,459,0.74,1,4,4,60.9,55.0,3635
460,460,1.21,3,6,7,62.0,56.0,5111
461,461,0.65,2,6,7,60.7,58.0,1219
462,462,1.52,2,5,7,58.7,62.0,8127
463,463,1.0,2,3,6,59.0,59.0,4144
464,464,0.33,3,3,1,58.7,55.0,897
465,465,0.7,1,3,6,60.8,60.0,2445
466,466,0.3,1,1,4,62.0,54.0,848
467,467,2.03,1,5,7,61.8,56.0,15143
468,468,0.33,1,4,4,62.1,56.0,854
469,469,1.1,3,2,7,63.3,56.0,4140
470,470,0.5,1,1,5,62.3,55.0,1752
471,471,1.2,1,6,7,62.5,56.0,3931
472,472,0.78,2,4,7,60.6,58.0,2486
473,473,1.01,3,2,4,62.0,57.0,6996
474,474,0.44,2,4,2,60.9,59.0,1294
475,475,1.23,3,4,7,60.8,59.0,5037
476,476,0.5,1,5,4,61.7,59.0,1429
477,477,1.15,2,1,6,63.0,57.0,6942
478,478,0.5,2,2,7,61.0,62.0,1097
479,479,1.01,2,5,5,61.3,59.0,5166
480,480,1.02,2,5,6,61.1,58.0,5084
481,481,0.71,3,6,3,62.5,57.0,2495
482,482,0.97,2,3,7,58.9,58.0,4020
483,483,0.84,3,1,6,62.9,58.0,3816
484,484,0.51,4,3,6,64.1,58.0,1274
485,485,0.57,2,2,7,62.5,54.0,1058
486,486,1.21,3,5,6,62.8,56.0,6022
487,487,1.01,3,5,5,62.0,59.0,5186
488,488,1.11,3,1,7,61.3,60.0,5042
489,489,0.59,4,3,5,64.9,57.0,1643
490,490,1.01,3,5,5,62.6,61.0,4821
491,491,0.24,3,3,2,61.8,58.0,478
492,492,0.23,1,3,5,61.8,55.0,493
493,493,0.57,1,5,6,61.8,55.0,1292
494,494,0.74,4,5,5,57.5,57.0,2369
495,495,0.42,1,3,3,60.6,57.0,1221
496,496,1.0,4,4,5,56.7,62.0,4838
497,497,0.39,1,5,3,61.4,56.1,853
498,498,1.05,2,4,7,60.1,60.0,3828
499,499,0.6,1,3,5,61.9,55.0,1875
500,500,0.32,3,7,2,60.2,60.0,544
501,501,0.31,4,2,6,63.2,59.0,544
502,502,0.34,4,3,5,64.3,53.0,589
503,503,0.34,1,2,5,62.2,55.0,745
504,504,1.06,1,5,5,61.2,55.0,5277
505,505,0.31,4,4,6,63.2,54.0,462
506,506,1.01,2,5,7,61.6,59.0,4166
507,507,0.72,1,5,3,61.8,55.0,3417
508,508,0.32,3,5,4,62.9,54.0,561
509,509,1.01,4,1,7,61.5,56.0,4260
510,510,1.09,3,6,5,62.0,56.0,4959
511,511,1.0,1,3,3,61.5,55.0,7849
512,512,0.93,3,4,6,62.5,57.8,3933
513,513,0.42,1,1,3,61.7,57.0,1132
514,514,1.51,2,4,7,62.4,57.0,7695
515,515,1.22,1,5,7,61.0,57.0,5502
516,516,2.01,1,4,6,62.1,57.0,18736
517,517,1.1,2,3,6,59.5,59.0,5821
518,518,0.31,1,2,4,61.7,53.0,800
519,519,1.5,3,4,5,60.5,57.0,12014
520,520,0.3,2,4,3,60.8,58.0,878
521,521,1.01,1,2,2,61.8,54.0,10789
522,522,1.01,3,2,6,59.9,59.0,5224
523,523,2.4,3,6,7,60.6,58.5,17955
524,524,0.31,3,3,6,63.1,57.0,663
525,525,0.51,3,4,5,62.9,57.0,1438
526,526,0.51,3,2,4,58.1,60.0,1583
527,527,0.3,2,2,5,61.8,58.0,658
528,528,1.01,2,6,6,61.8,59.0,4166
529,529,1.53,2,6,6,62.6,57.0,9022
530,530,0.35,2,3,6,62.3,58.0,748
531,531,0.72,1,3,5,60.3,56.0,2724
532,532,1.35,3,4,5,62.8,59.0,9302
533,533,0.7,1,2,5,61.7,56.0,2979
534,534,1.7,3,2,5,58.6,62.0,18176
535,535,1.0,1,6,6,61.8,55.0,4602
536,536,0.34,1,4,2,62.1,53.0,863
537,537,0.53,1,1,5,62.6,56.0,1956
538,538,0.75,3,4,6,60.9,58.0,2545
539,539,1.01,4,6,5,62.5,59.0,4239
540,540,1.08,1,5,5,61.9,54.0,5850
541,541,0.9,2,1,6,62.2,60.0,3013
542,542,1.2,2,7,6,61.4,59.0,4838
543,543,0.36,1,1,3,61.0,56.0,1126
544,544,0.4,1,6,2,61.0,56.0,849
545,545,0.71,1,3,8,60.1,57.0,1761
546,546,0.3,3,1,4,63.0,56.0,645
547,547,1.13,2,6,6,62.8,57.0,4746
548,548,1.01,1,3,7,62.4,54.0,5154
549,549,0.3,2,2,5,62.6,62.0,788
550,550,0.3,2,4,4,62.8,59.0,776
551,551,0.54,1,5,4,61.6,59.0,1630
552,552,1.56,2,2,7,62.4,60.0,10090
553,553,0.71,3,2,7,62.2,58.0,2423
554,554,2.0,2,4,7,60.3,57.0,12388
555,555,0.3,1,4,5,61.2,55.0,545
556,556,0.58,2,2,6,60.6,56.0,1949
557,557,0.76,1,1,4,61.3,57.0,4229
558,558,1.01,4,6,7,62.6,59.0,3399
559,559,1.6,1,4,2,60.8,56.0,16339
560,560,0.74,2,2,4,61.1,58.0,3401
561,561,1.28,4,7,4,59.1,62.0,5759
562,562,0.32,2,5,6,62.0,58.0,591
563,563,0.35,2,1,7,60.8,58.0,522
